,Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
4595,2019.0,Regular Season,Toyota Stadium,2019-04-13,DAL,2.0,1.0,POR,DAL
4596,2019.0,Regular Season,CenturyLink Field,2019-04-13,SEA,3.0,2.0,TOR,SEA
4597,2019.0,Regular Season,Banc of California Stadium,2019-04-13,LA,2.0,0.0,PHI,LA
4598,2019.0,Regular Season,BBVA Compass Stadium,2019-04-13,HOU,2.0,1.0,SJ,HOU
4599,2019.0,Regular Season,BC Place,2019-04-17,VAN,1.0,0.0,LAFC,VAN
4600,2019.0,Regular Season,Dignity Health Sports Park,2019-04-19,LA,2.0,1.0,HOU,LA
4601,2019.0,Regular Season,BMO Field,2019-04-19,TOR,4.0,3.0,MIN,TOR
4602,2019.0,Regular Season,Nippert Stadium,2019-04-19,CIN,0.0,3.0,RSL,RSL
4603,2019.0,Regular Season,Avaya Stadium,2019-04-20,SJ,4.0,1.0,SKC,SJ
4604,2019.0,Regular Season,Exploria Stadium,2019-04-20,ORL,1.0,0.0,VAN,ORL
4605,2019.0,Regular Season,Mercedes-Benz Stadium,2019-04-20,ATL,1.0,2.0,DAL,DAL
4606,2019.0,Regular Season,Gillette Stadium,2019-04-20,NE,1.0,0.0,RBNY,NE
4607,2019.0,Regular Season,Subaru Park,2019-04-20,PHI,3.0,0.0,MTL,PHI
4608,2019.0,Regular Season,MAPFRE Stadium,2019-04-20,CLB,1.0,3.0,POR,POR
4609,2019.0,Regular Season,SeatGeek Stadium,2019-04-20,CHI,4.0,1.0,COL,CHI
4610,2019.0,Regular Season,Audi Field,2019-04-21,DC,0.0,2.0,NYC,NYC
4611,2019.0,Regular Season,Banc of California Stadium,2019-04-21,LAFC,4.0,1.0,SEA,LAFC
4612,2019.0,Regular Season,Gillette Stadium,2019-04-24,NE,0.0,3.0,MTL,MTL
4613,2019.0,Regular Season,Yankee Stadium,2019-04-24,NYC,1.0,0.0,CHI,NYC
4614,2019.0,Regular Season,MAPFRE Stadium,2019-04-24,CLB,0.0,1.0,DC,DC
4615,2019.0,Regular Season,BMO Field,2019-04-27,TOR,1.0,2.0,POR,POR
4616,2019.0,Regular Season,Red Bull Arena,2019-04-27,RBNY,1.0,0.0,CIN,RBNY
4617,2019.0,Regular Season,BBVA Compass Stadium,2019-04-27,HOU,2.0,0.0,CLB,HOU
4618,2019.0,Regular Season,Mercedes-Benz Stadium,2019-04-27,ATL,1.0,0.0,COL,ATL
4619,2019.0,Regular Season,Dignity Health Sports Park,2019-04-28,LA,2.0,1.0,RSL,LA
4620,2019.0,Regular Season,Allianz Field,2019-04-28,MIN,1.0,0.0,DC,MIN
4621,2019.0,Regular Season,Saputo Stadium,2019-04-28,MTL,1.0,0.0,CHI,MTL
4622,2019.0,Regular Season,Subaru Park,2019-05-01,PHI,2.0,0.0,CIN,PHI
4623,2019.0,Regular Season,Dick's Sporting Goods Park,2019-05-03,COL,2.0,3.0,VAN,VAN
4624,2019.0,Regular Season,Rio Tinto Stadium,2019-05-04,RSL,1.0,2.0,POR,POR
